rs,model,trait,gene_name,gene_id,overlap
Scaffold_2__1_contigs__length_114774641.103228656,bslmm,GCRF_bill_PC,NA,NA,
Scaffold_2__1_contigs__length_114774641.29284537,bslmm,plum_num,CAPN5,ENSTGUG00000013052,
Scaffold_2__1_contigs__length_114774641.35557660,bslmm,plum_num,NA,NA,
Scaffold_2__1_contigs__length_114774641.60326738,lmm,pen_num,NA,NA,
Scaffold_2__1_contigs__length_114774641.66594799,bslmm,plum_num,KATNAL1,ENSTGUG00000011690,
Scaffold_2__1_contigs__length_114774641.68475368,bslmm,beak_depth,ATP8A2,ENSTGUG00000011487,same gene family
Scaffold_2__1_contigs__length_114774641.80634326,lmm,GCRF_feather_PC,ensembl,ENSTGUG00000010798,
Scaffold_2__1_contigs__length_114774641.80634326,lmm,GCRF_feather_PC,ensembl,ENSTGUG00000010798,
Scaffold_2__1_contigs__length_114774641.80634326,bslmm,GCRF_feather_PC,ensembl,ENSTGUG00000010798,
Scaffold_2__1_contigs__length_114774641.80634326,bslmm,GCRF_feather_PC,ensembl,ENSTGUG00000010798,
Scaffold_2__1_contigs__length_114774641.84687323,bslmm,pen_length,NA,NA,
Scaffold_2__1_contigs__length_114774641.85189033,bslmm,GCRF_bill_PC,INPP4A,ENSTGUG00000010196,
Scaffold_2__1_contigs__length_114774641.85215792,bslmm,nare_length,COA5,ENSTGUG00000010191,
Scaffold_2__1_contigs__length_114774641.92336930,bslmm,GCRF_feather_PC,NA,NA,
Scaffold_20__1_contigs__length_20685320.19570155,bslmm,pen_length,NA,NA,
Scaffold_21__1_contigs__length_20640149.131805,lmm,GCRF_feather_PC,PDIA3,ENSTGUG00000010220,same gene family
Scaffold_21__1_contigs__length_20640149.131805,lmm,GCRF_feather_PC,PDIA3,ENSTGUG00000010220,
Scaffold_21__1_contigs__length_20640149.19996029,bslmm,nare_length,ensembl,ENSTGUG00000003485,
Scaffold_22__1_contigs__length_19532606.9817097,bslmm,plum_num,NA,NA,
Scaffold_23__1_contigs__length_18116493.1385210,bslmm,GCRF_bill_PC,ARHGAP26,ENSTGUG00000000148,same gene family
Scaffold_23__1_contigs__length_18116493.17238783,bslmm,nare_length,PCDHAC2,ENSTGUG00000001700,
Scaffold_23__1_contigs__length_18116493.2449928,bslmm,GCRF_bill_PC,UBTD2,ENSTGUG00000000288,
Scaffold_23__1_contigs__length_18116493.6157005,bslmm,pen_length,NA,NA,
Scaffold_23__1_contigs__length_18116493.6157009,bslmm,pen_length,NA,NA,
Scaffold_23__1_contigs__length_18116493.6233851,bslmm,plum_num,ensembl,ENSTGUG00000000718,
Scaffold_24__1_contigs__length_16295608.7912423,bslmm,pen_length,NA,NA,
Scaffold_25__1_contigs__length_14943599.4816741,bslmm,plum_num,NA,NA,
Scaffold_27__1_contigs__length_12364714.9525630,bslmm,pen_length,NA,NA,
Scaffold_3__1_contigs__length_112408489.112330666,bslmm,GCRF_feather_PC,ensembl,ENSTGUG00000002140,
Scaffold_3__1_contigs__length_112408489.112330666,bslmm,GCRF_feather_PC,ensembl,ENSTGUG00000002140,
Scaffold_3__1_contigs__length_112408489.112330666,lmm,GCRF_feather_PC,ensembl,ENSTGUG00000002140,
Scaffold_3__1_contigs__length_112408489.112330666,lmm,GCRF_feather_PC,ensembl,ENSTGUG00000002140,
Scaffold_3__1_contigs__length_112408489.19386013,lmm,pen_length,ensembl,ENSTGUG00000012928,
Scaffold_3__1_contigs__length_112408489.19386013,lmm,pen_length,ensembl,ENSTGUG00000012928,
Scaffold_3__1_contigs__length_112408489.38388426,bslmm,plum_num,NA,NA,
Scaffold_3__1_contigs__length_112408489.49861818,lmm,pen_length,NA,NA,
Scaffold_3__1_contigs__length_112408489.53961282,bslmm,pen_length,NA,NA,
Scaffold_3__1_contigs__length_112408489.64413221,bslmm,plum_num,ensembl,ENSTGUG00000010743,
Scaffold_31__1_contigs__length_7482407.6719522,lmm,GCRF_bill_PC,ADAMTS15,ENSTGUG00000000707,
Scaffold_4__1_contigs__length_75720081.19553053,bslmm,pen_num,NA,NA,
Scaffold_4__1_contigs__length_75720081.42293759,bslmm,pen_length,NA,NA,
Scaffold_4__1_contigs__length_75720081.53108254,bslmm,pen_length,NA,NA,
Scaffold_4__1_contigs__length_75720081.53108254,lmm,pen_length,NA,NA,
Scaffold_4__1_contigs__length_75720081.60965510,bslmm,pen_length,NA,NA,
Scaffold_4__1_contigs__length_75720081.60965510,lmm,pen_length,NA,NA,
Scaffold_4__1_contigs__length_75720081.72952606,bslmm,plum_num,NA,NA,
Scaffold_4__1_contigs__length_75720081.73659423,bslmm,pen_length,NA,NA,
Scaffold_4__1_contigs__length_75720081.73659423,lmm,pen_length,NA,NA,
Scaffold_5__1_contigs__length_71959612.14244530,bslmm,GCRF_bill_PC,CPEB2,ENSTGUG00000009822,
Scaffold_5__1_contigs__length_71959612.32645017,bslmm,plum_num,DCTD,ENSTGUG00000006536,
Scaffold_5__1_contigs__length_71959612.37338641,lmm,pen_length,AADAT,ENSTGUG00000006219,same gene family
Scaffold_5__1_contigs__length_71959612.37338641,lmm,pen_length,AADAT,ENSTGUG00000006219,
Scaffold_5__1_contigs__length_71959612.65589803,bslmm,GCRF_feather_PC,QRFPR,ENSTGUG00000001929,
Scaffold_5__1_contigs__length_71959612.65589803,bslmm,GCRF_feather_PC,QRFPR,ENSTGUG00000001929,
Scaffold_5__1_contigs__length_71959612.65589803,lmm,GCRF_feather_PC,QRFPR,ENSTGUG00000001929,
Scaffold_5__1_contigs__length_71959612.65589803,lmm,GCRF_feather_PC,QRFPR,ENSTGUG00000001929,
Scaffold_5__1_contigs__length_71959612.69052970,bslmm,pen_length,NA,NA,
Scaffold_5__1_contigs__length_71959612.9436839,bslmm,plum_num,ensembl,ENSTGUG00000010318,
Scaffold_6__1_contigs__length_71876329.24616234,lmm,GCRF_feather_PC,NA,NA,
Scaffold_6__1_contigs__length_71876329.45025068,bslmm,pen_length,NA,NA,
Scaffold_6__1_contigs__length_71876329.46591450,lmm,plum_num,NA,NA,
Scaffold_6__1_contigs__length_71876329.46591450,bslmm,plum_num,NA,NA,
Scaffold_6__1_contigs__length_71876329.60198070,bslmm,GCRF_feather_PC,NA,NA,
Scaffold_6__1_contigs__length_71876329.70326317,bslmm,pen_length,NA,NA,
Scaffold_7__1_contigs__length_62267870.11129059,bslmm,pen_num,NA,NA,
Scaffold_7__1_contigs__length_62267870.11129059,lmm,pen_num,NA,NA,
Scaffold_7__1_contigs__length_62267870.11737387,bslmm,plum_num,C11orf58,ENSTGUG00000008555,
Scaffold_7__1_contigs__length_62267870.1308038,bslmm,plum_num,GAS2,ENSTGUG00000004608,
Scaffold_7__1_contigs__length_62267870.22715604,bslmm,nare_length,HARBI1,ENSTGUG00000010627,
Scaffold_7__1_contigs__length_62267870.25567355,bslmm,plum_num,TTBK2,ENSTGUG00000011160,
Scaffold_7__1_contigs__length_62267870.31092659,bslmm,plum_num,ensembl,ENSTGUG00000011747,
Scaffold_7__1_contigs__length_62267870.31872111,bslmm,GCRF_bill_PC,ensembl,ENSTGUG00000011762,
Scaffold_7__1_contigs__length_62267870.57194752,bslmm,pen_length,NA,NA,
Scaffold_8__1_contigs__length_35685229.25471973,bslmm,GCRF_feather_PC,NA,NA,
Scaffold_8__1_contigs__length_35685229.32918258,bslmm,pen_length,NA,NA,
Scaffold_8__1_contigs__length_35685229.5145179,bslmm,pen_length,NA,NA,
